user,system,elapsed
0.91,0.140000000000001,7.89999999999998
1,0.25,7.45999999999981
1.21,0.399999999999999,7.44000000000005
4.36,1.08,20.1299999999992
1.58,0.61,10.55
1.12,0.2,10.64
1.22,0.42,8.44999999999982
0.81,0.200000000000001,10.6300000000001
0.690000000000001,0.229999999999999,10.7399999999998
0.609999999999999,0.199999999999999,10.4800000000005
0.98,0.640000000000001,11.1800000000003
0.799999999999997,0.85,14.5899999999992
0.789999999999999,0.169999999999998,8.71999999999935
0.57,0.18,12.7000000000007
0.890000000000001,1.2,25.1399999999994
0.710000000000001,0.220000000000002,8.97000000000116
0.780000000000001,0.310000000000002,9.84000000000015
1.22000000000001,0.979999999999997,23.0799999999999
