user,system,elapsed,plot
0.0599999999999987,0,0.42999999999995,umap
0.0799999999999983,0.0999999999999996,1.05000000000007,feature
0.0700000000000003,0,0.340000000000032,violin
0,0,0.0200000000000955,dot
0.0500000000000007,0,0.330000000000155,umap
0.0599999999999987,0.470000000000001,4.44999999999982,feature
0.0199999999999996,0.119999999999999,0.580000000000155,violin
0,0,0.0199999999999818,dot
0.00999999999999801,0,0.390000000000327,umap
0.0800000000000018,0.25,1.57000000000016,feature
0.129999999999999,0,0.340000000000146,violin
0,0,0.00999999999976353,dot
0.109999999999999,0.0199999999999996,0.579999999999927,feature
0.0399999999999991,0,0.299999999999727,violin
0,0,0.0199999999999818,dot
0.0900000000000034,0,0.279999999999745,umap
0.100000000000001,0.380000000000003,3.88000000000011,feature
0.100000000000001,0,0.289999999999964,violin
0,0,0,dot
0.0900000000000034,0.229999999999997,3.07999999999993,feature
0.140000000000001,0.289999999999999,0.920000000000073,violin
0.00999999999999801,0,0.0299999999997453,dot
